Event,Timestamp,Result,Type,Pass Outcome,Shot outcome,Pressure,Player Name,Shirt Number,Team Name,Start Position X,Start Position Y,Foot used,Receiver Name,Receiver Shirt Number,End Position X,End Position Y,Defensive Action,Side,Distribution,Goal Location,Booking,Game_State,length_x,length_y,length_euclidean,angle_degrees,direction
Pass,00:40:35:460,Successful,Basic,-,-,High,Luc Lombo,18,Den Bosch O17,55,28,-,Jasper Riemersma,3,66,27,-,-,-,-,-,-,11,-1,11,-5.2,forward
Pass,00:40:37:040,Successful,Basic,-,-,Medium,Jasper Riemersma,3,Den Bosch O17,67,29,-,Huib Alberts,15,69,46,-,-,-,-,-,-,2,17,17,83.3,lateral
Pass,00:40:40:810,Successful,Basic,-,-,Medium,Huib Alberts,15,Den Bosch O17,68,59,-,Kenji Viveen,16,81,55,-,-,-,-,-,-,13,-4,14,-17.1,forward
Pass,00:40:43:420,Successful,Basic,-,-,Medium,Kenji Viveen,16,Den Bosch O17,80,56,-,Jasper Riemersma,3,73,25,-,-,-,-,-,-,-7,-31,32,-102.7,lateral
Pass,00:40:46:700,Successful,Basic,-,-,Medium,Jasper Riemersma,3,Den Bosch O17,69,22,-,Hassan Mustafa,20,58,5,-,-,-,-,-,-,-11,-17,20,-122.9,lateral
Pass,00:40:51:110,Successful,Basic,-,-,High,Hassan Mustafa,20,Den Bosch O17,52,16,-,Thijs Mendonca,22,40,21,-,-,-,-,-,-,-12,5,13,157.4,backward
Pass,00:40:51:970,Successful,Basic,-,-,Medium,Thijs Mendonca,22,Den Bosch O17,41,18,-,Hassan Mustafa,20,44,6,-,-,-,-,-,-,3,-12,12,-76.0,lateral
Pass,00:40:54:320,Successful,Basic,-,-,High,Hassan Mustafa,20,Den Bosch O17,37,4,-,Oscar Li,17,33,3,-,-,-,-,-,-,-4,-1,4,-166.0,backward
Pass,00:40:57:080,Unsuccessful,Basic,-,-,High,Oscar Li,17,Den Bosch O17,36,7,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Pass,00:41:02:310,Successful,Basic,-,-,High,Wessel,4,Helmond Sport O17,14,11,-,Keano,12,19,76,-,-,-,-,-,-,5,65,65,85.6,lateral
Pass,00:41:08:320,Successful,Basic,-,-,Medium,Keano,12,Helmond Sport O17,18,85,-,Nasim,23,3,72,-,-,-,-,-,-,-15,-13,20,-139.1,backward
Pass,00:41:11:250,Successful,Basic,-,-,Medium,Nasim,23,Helmond Sport O17,4,73,-,Berk,18,37,67,-,-,-,-,-,-,33,-6,34,-10.3,forward
Duel,00:41:14:810,Won,Ground,-,-,-,Berk,18,Helmond Sport O17,37,68,-,-,-,-,-,-,-,-,-,-,-,,,,,
Duel,00:41:14:810,Lost,Ground,-,-,-,Huib Alberts,15,Den Bosch O17,37,68,-,-,-,-,-,-,-,-,-,-,-,,,,,
Pass,00:41:14:820,Unsuccessful,Basic,-,-,High,Berk,18,Helmond Sport O17,38,69,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:41:15:340,Successful,-,-,-,-,Rayaan Lakbibchi,8,Den Bosch O17,32,65,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Lost Possession,00:41:16:250,-,-,-,-,-,Rayaan Lakbibchi,8,Den Bosch O17,34,64,-,-,-,-,-,-,-,-,-,-,-,,,,,
Pass,00:41:19:330,Successful,Through Ball,-,-,Medium,Berk,18,Helmond Sport O17,34,54,-,Elvi,9,72,62,-,-,-,-,-,-,38,8,39,11.9,forward
Penalty Box Entries,00:41:22:970,-,-,-,-,-,Elvi,9,Helmond Sport O17,72,63,-,-,-,-,-,-,Center,-,-,-,-,,,,,
Defensive Action,00:41:24:130,Unsuccessful,-,-,-,-,Jasper Riemersma,3,Den Bosch O17,81,62,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Attacking Third Entry,00:41:25:090,-,-,-,-,-,Elvi,9,Helmond Sport O17,84,65,-,-,-,-,-,-,Right,-,-,-,-,,,,,
Defensive Action,00:41:26:420,Successful,-,-,-,-,Senn Talakua,2,Den Bosch O17,91,65,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Defensive Action,00:41:28:430,Successful,-,-,-,-,Senn Talakua,2,Den Bosch O17,96,75,-,-,-,-,-,Clearance,-,-,-,-,-,,,,,
Substitute,00:41:37:740,-,Injury,-,-,-,Dani,7,Helmond Sport O17,36,95,-,Kaan,5,-,-,-,-,-,-,-,-,,,,,
Pass,00:41:52:790,Successful,Basic,-,-,High,Rayen S.,6,Helmond Sport O17,74,74,-,Keano,12,76,94,-,-,-,-,-,-,2,20,20,84.3,lateral
Defensive Action,00:41:59:240,Successful,-,-,-,-,Keyane Ait Bahmad,14,Den Bosch O17,72,94,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Defensive Action,00:42:01:580,Successful,-,-,-,-,Loek,17,Helmond Sport O17,65,90,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Defensive Action,00:42:02:610,Successful,-,-,-,-,Sufyan van Daalen,10,Den Bosch O17,63,93,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Dribbles,00:42:03:630,Unsuccessful,-,-,-,-,Sufyan van Daalen,10,Den Bosch O17,60,93,-,-,-,56,92,-,-,-,-,-,-,-4,-1,4,-166.0,backward
Lost Possession,00:42:06:490,-,-,-,-,-,Wessel,4,Helmond Sport O17,37,90,-,-,-,-,-,-,-,-,-,-,-,,,,,
Pass,00:42:22:980,Unsuccessful,Throw-in,-,-,Low,Senn Talakua,2,Den Bosch O17,42,95,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Pass,00:42:25:590,Unsuccessful,Basic,-,-,Medium,Keano,12,Helmond Sport O17,20,91,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:42:28:320,Successful,-,-,-,-,Luc Lombo,18,Den Bosch O17,47,88,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:42:28:370,Successful,Basic,-,-,High,Luc Lombo,18,Den Bosch O17,47,85,-,Rayaan Lakbibchi,8,44,79,-,-,-,-,-,-,-3,-6,7,-116.6,lateral
Defensive Action,00:42:30:760,Successful,-,-,-,-,Berk,18,Helmond Sport O17,46,81,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Defensive Action,00:42:32:710,Successful,-,-,-,-,Luc Lombo,18,Den Bosch O17,52,83,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Pass,00:42:32:750,Successful,Basic,-,-,High,Luc Lombo,18,Den Bosch O17,52,81,-,Jasper Riemersma,3,64,70,-,-,-,-,-,-,12,-11,16,-42.5,forward
Pass,00:42:36:240,Successful,Basic,-,-,Medium,Jasper Riemersma,3,Den Bosch O17,66,61,-,Hassan Mustafa,20,59,17,-,-,-,-,-,-,-7,-44,45,-99.0,lateral
Pass,00:42:40:360,Successful,Basic,-,-,High,Hassan Mustafa,20,Den Bosch O17,61,17,-,Kenji Viveen,16,80,30,-,-,-,-,-,-,19,13,23,34.4,forward
Pass,00:42:43:770,Successful,Basic,-,-,Low,Kenji Viveen,16,Den Bosch O17,80,32,-,Huib Alberts,15,79,64,-,-,-,-,-,-,-1,32,32,91.8,lateral
Pass,00:42:46:160,Successful,Basic,-,-,Medium,Huib Alberts,15,Den Bosch O17,76,66,-,Senn Talakua,2,70,93,-,-,-,-,-,-,-6,27,28,102.5,lateral
Pass,00:42:48:490,Unsuccessful,Basic,-,-,Medium,Senn Talakua,2,Den Bosch O17,71,92,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:42:49:240,Successful,-,-,-,-,Loek,17,Helmond Sport O17,70,81,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:42:49:250,Unsuccessful,Basic,-,-,High,Loek,17,Helmond Sport O17,70,83,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:42:53:250,Successful,-,-,-,-,Huib Alberts,15,Den Bosch O17,95,89,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Lost Possession,00:42:54:710,-,-,-,-,-,Huib Alberts,15,Den Bosch O17,96,95,-,-,-,-,-,-,-,-,-,-,-,,,,,
Pass,00:43:11:740,Unsuccessful,Throw-in,-,-,Low,Keano,12,Helmond Sport O17,92,96,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
