Event,Timestamp,Result,Type,Pass Outcome,Shot outcome,Pressure,Player Name,Shirt Number,Team Name,Start Position X,Start Position Y,Foot used,Receiver Name,Receiver Shirt Number,End Position X,End Position Y,Defensive Action,Side,Distribution,Goal Location,Booking,Game_State,length_x,length_y,length_euclidean,angle_degrees,direction
Defensive Action,00:56:29:770,Successful,-,-,-,-,Kaan,5,Helmond Sport O17,58,21,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:56:29:780,Successful,Basic,-,-,High,Kaan,5,Helmond Sport O17,59,21,-,Rayen S.,6,74,17,-,-,-,-,-,-,15,-4,16,-14.9,forward
Attacking Third Entry,00:56:32:310,-,-,-,-,-,Rayen S.,6,Helmond Sport O17,74,18,-,-,-,-,-,-,Left,-,-,-,-,,,,,
Defensive Action,00:56:34:120,Successful,-,-,-,-,Hassan Mustafa,20,Den Bosch O17,75,18,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Pass,00:56:36:760,Successful,Basic,-,-,Medium,Luc Lombo,18,Den Bosch O17,75,9,-,Oscar Li,17,63,6,-,-,-,-,-,-,-12,-3,12,-166.0,backward
Pass,00:56:37:890,Successful,Basic,-,-,High,Oscar Li,17,Den Bosch O17,64,6,-,Luc Lombo,18,64,13,-,-,-,-,-,-,0,7,7,90.0,lateral
Pass,00:56:41:200,Unsuccessful,Through Ball,-,-,High,Luc Lombo,18,Den Bosch O17,56,11,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Pass,00:56:44:400,Successful,Basic,-,-,Medium,Nasim,23,Helmond Sport O17,25,32,-,Loek,17,42,31,-,-,-,-,-,-,17,-1,17,-3.4,forward
Pass,00:56:45:400,Successful,Basic,-,-,Medium,Loek,17,Helmond Sport O17,43,30,-,Berk,18,56,31,-,-,-,-,-,-,13,1,13,4.4,forward
Pass,00:56:47:250,Unsuccessful,Basic,-,-,Medium,Berk,18,Helmond Sport O17,56,29,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Pass,00:56:50:010,Successful,Basic,-,-,High,Hassan Mustafa,20,Den Bosch O17,66,21,-,Kenji Viveen,16,83,37,-,-,-,-,-,-,17,16,23,43.3,forward
Pass,00:56:53:960,Successful,Basic,-,-,Medium,Kenji Viveen,16,Den Bosch O17,81,34,-,Rayaan Lakbibchi,8,68,40,-,-,-,-,-,-,-13,6,14,155.2,backward
Pass,00:56:55:370,Successful,Basic,-,-,Medium,Rayaan Lakbibchi,8,Den Bosch O17,69,40,-,Huib Alberts,15,76,67,-,-,-,-,-,-,7,27,28,75.5,lateral
Pass,00:56:58:150,Successful,Basic,-,-,Medium,Huib Alberts,15,Den Bosch O17,78,67,-,Kenji Viveen,16,92,55,-,-,-,-,-,-,14,-12,18,-40.6,forward
Pass,00:57:03:350,Successful,Basic,-,-,Medium,Kenji Viveen,16,Den Bosch O17,89,55,-,Huib Alberts,15,87,83,-,-,-,-,-,-,-2,28,28,94.1,lateral
Pass,00:57:07:910,Unsuccessful,Through Ball,-,-,Medium,Huib Alberts,15,Den Bosch O17,71,72,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Gk Distribution,00:57:17:270,Successful,-,-,-,-,Nasim,23,Helmond Sport O17,12,62,-,Wessel,4,15,45,-,-,Throw,-,-,-,,,,,
Pass,00:57:20:550,Successful,Basic,-,-,Low,Wessel,4,Helmond Sport O17,19,35,-,Keano,12,36,32,-,-,-,-,-,-,17,-3,17,-10.0,forward
Pass,00:57:21:820,Successful,Basic,-,-,Medium,Keano,12,Helmond Sport O17,35,29,-,Wessel,4,23,29,-,-,-,-,-,-,-12,0,12,180.0,backward
Pass,00:57:24:100,Successful,Basic,-,-,Medium,Wessel,4,Helmond Sport O17,24,30,-,Jorg,3,19,66,-,-,-,-,-,-,-5,36,36,97.9,lateral
Pass,00:57:28:050,Successful,Basic,-,-,Medium,Jorg,3,Helmond Sport O17,24,70,-,Rayen S.,6,46,96,-,-,-,-,-,-,22,26,34,49.8,lateral
Pass,00:57:33:750,Successful,Basic,-,-,High,Rayen S.,6,Helmond Sport O17,46,88,-,Keano,12,37,64,-,-,-,-,-,-,-9,-24,26,-110.6,lateral
Defensive Action,00:57:36:140,Successful,-,-,-,-,Thijs Mendonca,22,Den Bosch O17,32,67,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Pass,00:57:36:160,Successful,Basic,-,-,High,Thijs Mendonca,22,Den Bosch O17,31,67,-,Sufyan van Daalen,10,27,68,-,-,-,-,-,-,-4,1,4,166.0,backward
Attacking Third Entry,00:57:37:760,-,-,-,-,-,Sufyan van Daalen,10,Den Bosch O17,27,69,-,-,-,-,-,-,Center,-,-,-,-,,,,,
Pass,00:57:39:780,Unsuccessful,Basic,-,-,High,Sufyan van Daalen,10,Den Bosch O17,17,65,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:57:39:980,Successful,-,-,-,-,Wessel,4,Helmond Sport O17,16,62,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:57:42:160,Successful,Basic,-,-,High,Jorg,3,Helmond Sport O17,13,58,-,Wessel,4,12,66,-,-,-,-,-,-,-1,8,8,97.1,lateral
Pass,00:57:43:620,Successful,Basic,-,-,High,Wessel,4,Helmond Sport O17,12,65,-,Kaan,5,14,43,-,-,-,-,-,-,2,-22,22,-84.8,lateral
Pass,00:57:45:380,Unsuccessful,Basic,-,-,Medium,Kaan,5,Helmond Sport O17,14,44,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:57:47:350,Successful,-,-,-,-,Rayaan Lakbibchi,8,Den Bosch O17,35,51,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:57:51:490,Successful,Basic,-,-,High,Rayaan Lakbibchi,8,Den Bosch O17,41,28,-,Oscar Li,17,37,17,-,-,-,-,-,-,-4,-11,12,-110.0,lateral
Pass,00:57:53:750,Successful,Basic,-,-,High,Oscar Li,17,Den Bosch O17,42,17,-,Hassan Mustafa,20,49,17,-,-,-,-,-,-,7,0,7,0.0,forward
Pass,00:57:55:590,Successful,Basic,-,-,High,Hassan Mustafa,20,Den Bosch O17,47,14,-,Rayaan Lakbibchi,8,37,18,-,-,-,-,-,-,-10,4,11,158.2,backward
Pass,00:58:01:020,Unsuccessful,Basic,-,-,High,Rayaan Lakbibchi,8,Den Bosch O17,44,4,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:58:01:100,Successful,-,-,-,-,Max,20,Helmond Sport O17,47,7,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Defensive Action,00:58:03:300,Successful,-,-,-,-,Hassan Mustafa,20,Den Bosch O17,48,4,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Pass,00:58:06:780,Successful,Basic,-,-,High,Rayaan Lakbibchi,8,Den Bosch O17,56,4,-,Hassan Mustafa,20,46,2,-,-,-,-,-,-,-10,-2,10,-168.7,backward
Pass,00:58:08:360,Successful,Basic,-,-,High,Hassan Mustafa,20,Den Bosch O17,45,3,-,Oscar Li,17,42,4,-,-,-,-,-,-,-3,1,3,161.6,backward
Pass,00:58:09:250,Unsuccessful,Basic,-,-,High,Oscar Li,17,Den Bosch O17,42,5,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Duel,00:58:10:120,Won,Ground,-,-,-,Loek,17,Helmond Sport O17,44,13,-,-,-,-,-,-,-,-,-,-,-,,,,,
Duel,00:58:10:120,Lost,Ground,-,-,-,Hassan Mustafa,20,Den Bosch O17,44,13,-,-,-,-,-,-,-,-,-,-,-,,,,,
Defensive Action,00:58:10:150,Successful,-,-,-,-,Loek,17,Helmond Sport O17,44,13,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:58:10:260,Successful,Basic,-,-,High,Loek,17,Helmond Sport O17,44,11,-,Wessel,4,36,7,-,-,-,-,-,-,-8,-4,9,-153.4,backward
Pass,00:58:11:530,Unsuccessful,Basic,-,-,High,Wessel,4,Helmond Sport O17,37,10,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Pass,00:58:15:500,Successful,Basic,-,-,Medium,Huib Alberts,15,Den Bosch O17,68,26,-,Kenji Viveen,16,82,48,-,-,-,-,-,-,14,22,26,57.5,lateral
Pass,00:58:19:520,Successful,Basic,-,-,Medium,Kenji Viveen,16,Den Bosch O17,78,53,-,Luc Lombo,18,59,55,-,-,-,-,-,-,-19,2,19,174.0,backward
Pass,00:59:24:880,Successful,Basic,-,-,Medium,Huib Alberts,15,Den Bosch O17,63,55,-,Kenji Viveen,16,79,53,-,-,-,-,-,-,16,-2,16,-7.1,forward
Pass,00:59:29:770,Successful,Basic,-,-,Medium,Kenji Viveen,16,Den Bosch O17,77,51,-,Huib Alberts,15,72,64,-,-,-,-,-,-,-5,13,14,111.0,lateral
Pass,00:59:33:390,Unsuccessful,Through Ball,-,-,High,Huib Alberts,15,Den Bosch O17,59,72,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Duel,00:59:36:240,Won,Ground,-,-,-,Wessel,4,Helmond Sport O17,29,63,-,-,-,-,-,-,-,-,-,-,-,,,,,
Duel,00:59:36:240,Lost,Ground,-,-,-,Sufyan van Daalen,10,Den Bosch O17,29,63,-,-,-,-,-,-,-,-,-,-,-,,,,,
Defensive Action,00:59:36:290,Unsuccessful,-,-,-,-,Wessel,4,Helmond Sport O17,29,65,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,01:00:00:020,Unsuccessful,Throw-in,-,-,Low,Senn Talakua,2,Den Bosch O17,18,95,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,01:00:01:320,Successful,-,-,-,-,Loek,17,Helmond Sport O17,15,82,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,01:00:01:450,Successful,Basic,-,-,High,Loek,17,Helmond Sport O17,15,83,-,Berk,18,24,80,-,-,-,-,-,-,9,-3,9,-18.4,forward
Pass,01:00:02:550,Unsuccessful,Basic,-,-,High,Berk,18,Helmond Sport O17,23,82,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Pass,01:00:04:280,Unsuccessful,Basic,-,-,Medium,Senn Talakua,2,Den Bosch O17,23,94,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,01:00:05:200,Successful,-,-,-,-,Loek,17,Helmond Sport O17,22,79,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,01:00:05:330,Successful,Basic,-,-,Medium,Loek,17,Helmond Sport O17,23,80,-,Elvi,9,37,79,-,-,-,-,-,-,14,-1,14,-4.1,forward
Pass,01:00:07:360,Unsuccessful,Basic,-,-,High,Elvi,9,Helmond Sport O17,37,80,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,01:00:07:580,Successful,-,-,-,-,Huib Alberts,15,Den Bosch O17,39,81,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,01:00:10:290,Successful,Basic,-,-,High,Huib Alberts,15,Den Bosch O17,35,90,-,Senn Talakua,2,31,94,-,-,-,-,-,-,-4,4,6,135.0,backward
Attacking Third Entry,01:00:12:370,-,-,-,-,-,Senn Talakua,2,Den Bosch O17,28,92,-,-,-,-,-,-,Left,-,-,-,-,,,,,
Pass,01:00:13:170,Successful,Basic,-,-,High,Senn Talakua,2,Den Bosch O17,26,89,-,Thijs Mendonca,22,23,82,-,-,-,-,-,-,-3,-7,8,-113.2,lateral
Defensive Action,01:00:14:420,Unsuccessful,-,-,-,-,Keano,12,Helmond Sport O17,24,84,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Defensive Action,01:00:17:290,Unsuccessful,-,-,-,-,Rayen S.,6,Helmond Sport O17,13,87,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Foul,01:00:20:310,-,-,-,-,-,Rayen S.,6,Helmond Sport O17,21,71,-,Thijs Mendonca,22,-,-,-,-,-,-,-,-,,,,,
Freekick,01:00:50:860,On Target,Shot,-,-,-,Thijs Mendonca,22,Den Bosch O17,20,69,-,-,-,-,-,-,-,-,-,-,-,,,,,
Shots,01:00:50:900,On Target,After Free Kick,-,No Goal,Low,Thijs Mendonca,22,Den Bosch O17,20,70,Right Foot,-,-,-,-,-,-,-,Middle-right,-,-,,,,,
Gk Saves,01:00:52:010,-,High Saves,-,-,-,Nasim,23,Helmond Sport O17,3,48,-,-,-,-,-,-,-,-,-,-,-,,,,,
Game_State,01:00:55:010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1st Half End,,,,,
Substitute,01:06:00:210,-,Tactical,-,-,-,Loek,17,Helmond Sport O17,40,96,-,Chevez,10,-,-,-,-,-,-,-,-,,,,,
Substitute,01:06:00:290,-,Tactical,-,-,-,Wessel,4,Helmond Sport O17,40,96,-,Dean,19,-,-,-,-,-,-,-,-,,,,,
Substitute,01:06:00:330,-,Tactical,-,-,-,Keano,12,Helmond Sport O17,41,96,-,Rubens,8,-,-,-,-,-,-,-,-,,,,,
Substitute,01:06:00:530,-,Tactical,-,-,-,Berk,18,Helmond Sport O17,39,95,-,Abdoul,2,-,-,-,-,-,-,-,-,,,,,
Substitute,01:06:00:690,-,Tactical,-,-,-,Max,20,Helmond Sport O17,38,95,-,Glenn,15,-,-,-,-,-,-,-,-,,,,,
Substitute,01:08:07:450,-,Tactical,-,-,-,Senn Talakua,2,Den Bosch O17,54,96,-,Seger van Geene,33,-,-,-,-,-,-,-,-,,,,,
Substitute,01:08:07:810,-,Tactical,-,-,-,Jasper Riemersma,3,Den Bosch O17,54,96,-,Arend Wijnalda,6,-,-,-,-,-,-,-,-,,,,,
Game_State,01:11:21:370,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2nd Half Start,,,,,
Pass,01:11:21:830,Successful,Basic,-,-,Low,Sufyan van Daalen,10,Den Bosch O17,50,48,-,Thijs Mendonca,22,48,44,-,-,-,-,-,-,-2,-4,4,-116.6,lateral
Pass,01:11:28:120,Successful,Basic,-,-,Medium,Thijs Mendonca,22,Den Bosch O17,64,65,-,Luc Lombo,18,56,88,-,-,-,-,-,-,-8,23,24,109.2,lateral
Pass,01:11:30:790,Successful,Basic,-,-,High,Luc Lombo,18,Den Bosch O17,56,88,-,Seger van Geene,33,34,67,-,-,-,-,-,-,-22,-21,30,-136.3,backward
Pass,01:11:34:680,Successful,Basic,-,-,High,Seger van Geene,33,Den Bosch O17,32,60,-,Huib Alberts,15,27,33,-,-,-,-,-,-,-5,-27,27,-100.5,lateral
Pass,01:11:38:080,Unsuccessful,Basic,-,-,High,Huib Alberts,15,Den Bosch O17,31,18,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Pass,01:11:40:560,Successful,Basic,Key,-,High,Elvi,9,Helmond Sport O17,37,14,-,Rubens,8,12,25,-,-,-,-,-,-,-25,11,27,156.3,backward
Penalty Box Entries,01:11:43:310,-,-,-,-,-,Rubens,8,Helmond Sport O17,12,25,-,-,-,-,-,-,Right,-,-,-,-,,,,,
Shots,01:11:43:350,On Target,In Game,-,No Goal,High,Rubens,8,Helmond Sport O17,12,26,Right Foot,-,-,-,-,-,-,-,Middle-right,-,-,,,,,
Gk Saves,01:11:44:130,-,Low Saves,-,-,-,Kenji Viveen,16,Den Bosch O17,4,46,-,-,-,-,-,-,-,-,-,-,-,,,,,
Gk Distribution,01:12:01:270,Successful,-,-,-,-,Kenji Viveen,16,Den Bosch O17,17,55,-,Seger van Geene,33,12,81,-,-,Kick,-,-,-,,,,,
Dribbles,01:12:04:420,Successful,-,-,-,-,Dean,19,Helmond Sport O17,13,83,-,-,-,15,83,-,-,-,-,-,-,2,0,2,0.0,forward
Pass,01:12:05:950,Successful,Basic,-,-,High,Seger van Geene,33,Den Bosch O17,20,74,-,Kenji Viveen,16,8,53,-,-,-,-,-,-,-12,-21,24,-119.7,lateral
Pass,01:12:08:180,Successful,Basic,-,-,Low,Kenji Viveen,16,Den Bosch O17,7,56,-,Huib Alberts,15,12,32,-,-,-,-,-,-,5,-24,25,-78.2,lateral
Pass,01:12:13:120,Successful,Basic,-,-,High,Huib Alberts,15,Den Bosch O17,27,21,-,Hassan Mustafa,20,38,4,-,-,-,-,-,-,11,-17,20,-57.1,lateral
Pass,01:12:16:390,Successful,Basic,-,-,High,Hassan Mustafa,20,Den Bosch O17,45,5,-,Thijs Mendonca,22,64,6,-,-,-,-,-,-,19,1,19,3.0,forward
Attacking Third Entry,01:12:20:230,-,-,-,-,-,Thijs Mendonca,22,Den Bosch O17,71,7,-,-,-,-,-,-,Left,-,-,-,-,,,,,
Dribbles,01:12:24:970,Successful,-,-,-,-,Thijs Mendonca,22,Den Bosch O17,94,20,-,-,-,95,22,-,-,-,-,-,-,1,2,2,63.4,lateral
Penalty Box Entries,01:12:26:300,-,-,-,-,-,Thijs Mendonca,22,Den Bosch O17,92,21,-,-,-,-,-,-,Left,-,-,-,-,,,,,
Pass,01:12:27:490,Unsuccessful,Basic,-,-,High,Thijs Mendonca,22,Den Bosch O17,88,25,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Dribbles,01:12:32:260,Successful,-,-,-,-,Thijs Mendonca,22,Den Bosch O17,74,61,-,-,-,72,58,-,-,-,-,-,-,-2,-3,4,-123.7,lateral
Defensive Action,01:12:34:250,Successful,-,-,-,-,Rayaan Lakbibchi,8,Den Bosch O17,70,55,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Pass,01:12:34:290,Successful,Basic,-,-,High,Rayaan Lakbibchi,8,Den Bosch O17,70,54,-,Keyane Ait Bahmad,14,74,53,-,-,-,-,-,-,4,-1,4,-14.0,forward
Pass,01:12:36:370,Successful,Basic,Key,-,High,Keyane Ait Bahmad,14,Den Bosch O17,74,50,-,Oscar Li,17,80,62,-,-,-,-,-,-,6,12,13,63.4,lateral
Penalty Box Entries,01:12:38:290,-,-,-,-,-,Oscar Li,17,Den Bosch O17,85,65,-,-,-,-,-,-,Right,-,-,-,-,,,,,
Shots,01:12:41:090,Off Target,In Game,-,No Goal,High,Oscar Li,17,Den Bosch O17,89,64,Right Foot,-,-,-,-,-,-,-,Top-right,-,-,,,,,
Pass,01:13:02:530,Successful,Basic,-,-,Low,Glenn,15,Helmond Sport O17,95,62,-,Nasim,23,96,51,-,-,-,-,-,-,1,-11,11,-84.8,lateral
Pass,01:13:05:690,Unsuccessful,Basic,-,-,High,Nasim,23,Helmond Sport O17,96,51,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,01:13:05:850,Successful,-,-,-,-,Keyane Ait Bahmad,14,Den Bosch O17,96,53,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Shots,01:13:05:890,On Target,In Game,-,No Goal,High,Keyane Ait Bahmad,14,Den Bosch O17,95,54,Right Foot,-,-,-,-,-,-,-,Bottom-right,-,-,,,,,
Gk Saves,01:13:07:480,-,Low Saves,-,-,-,Nasim,23,Helmond Sport O17,98,53,-,-,-,-,-,-,-,-,-,-,-,,,,,
Gk Distribution,01:13:16:610,Successful,-,-,-,-,Nasim,23,Helmond Sport O17,94,46,-,Rayen B.,22,57,62,-,-,Kick,-,-,-,,,,,
Pass,01:13:19:150,Unsuccessful,Basic,-,-,High,Rayen B.,22,Helmond Sport O17,58,62,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,01:13:20:330,Successful,-,-,-,-,Arend Wijnalda,6,Den Bosch O17,68,62,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,01:13:21:670,Successful,Basic,-,-,High,Arend Wijnalda,6,Den Bosch O17,65,69,-,Oscar Li,17,72,71,-,-,-,-,-,-,7,2,7,16.0,forward
Pass,01:13:23:270,Unsuccessful,Basic,-,-,High,Oscar Li,17,Den Bosch O17,69,68,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Pass,01:13:25:860,Successful,Basic,-,-,High,Rayen B.,22,Helmond Sport O17,58,74,-,Dean,19,46,66,-,-,-,-,-,-,-12,-8,14,-146.3,backward
Pass,01:13:27:130,Successful,Basic,-,-,High,Dean,19,Helmond Sport O17,46,67,-,Rayen B.,22,43,82,-,-,-,-,-,-,-3,15,15,101.3,lateral
Defensive Action,01:13:29:640,Successful,-,-,-,-,Oscar Li,17,Den Bosch O17,44,85,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Foul,01:13:32:820,-,-,-,-,-,Rayen B.,22,Helmond Sport O17,35,96,-,Oscar Li,17,-,-,-,-,-,-,-,-,,,,,
Freekick,01:13:39:880,Successful,Pass,-,-,-,Luc Lombo,18,Den Bosch O17,35,95,-,Seger van Geene,33,24,92,-,-,-,-,-,-,,,,,
Pass,01:13:39:920,Successful,Basic,-,-,Low,Luc Lombo,18,Den Bosch O17,35,94,-,Seger van Geene,33,24,92,-,-,-,-,-,-,-11,-2,11,-169.7,backward
Pass,01:13:42:090,Successful,Basic,-,-,Medium,Seger van Geene,33,Den Bosch O17,24,91,-,Kenji Viveen,16,9,71,-,-,-,-,-,-,-15,-20,25,-126.9,lateral
Pass,01:13:45:390,Successful,Basic,-,-,High,Kenji Viveen,16,Den Bosch O17,11,69,-,Sufyan van Daalen,10,46,41,-,-,-,-,-,-,35,-28,45,-38.7,forward
Pass,01:13:48:930,Successful,Basic,-,-,High,Sufyan van Daalen,10,Den Bosch O17,43,37,-,Rayaan Lakbibchi,8,41,31,-,-,-,-,-,-,-2,-6,6,-108.4,lateral
Pass,01:13:51:530,Successful,Basic,-,-,High,Rayaan Lakbibchi,8,Den Bosch O17,54,27,-,Thijs Mendonca,22,63,10,-,-,-,-,-,-,9,-17,19,-62.1,lateral
Attacking Third Entry,01:13:53:850,-,-,-,-,-,Thijs Mendonca,22,Den Bosch O17,69,8,-,-,-,-,-,-,Left,-,-,-,-,,,,,
Pass,01:13:54:130,Unsuccessful,Basic,-,-,High,Thijs Mendonca,22,Den Bosch O17,71,10,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,01:13:56:090,Successful,-,-,-,-,Glenn,15,Helmond Sport O17,80,32,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,01:13:56:130,Successful,Basic,-,-,High,Glenn,15,Helmond Sport O17,80,31,-,Rubens,8,73,26,-,-,-,-,-,-,-7,-5,9,-144.5,backward
Defensive Action,01:13:58:520,Successful,-,-,-,-,Sufyan van Daalen,10,Den Bosch O17,75,31,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Pass,01:13:58:560,Successful,Basic,-,-,High,Sufyan van Daalen,10,Den Bosch O17,75,31,-,Thijs Mendonca,22,69,21,-,-,-,-,-,-,-6,-10,12,-121.0,lateral
Pass,01:14:00:930,Successful,Basic,-,-,Medium,Thijs Mendonca,22,Den Bosch O17,70,21,-,Hassan Mustafa,20,58,6,-,-,-,-,-,-,-12,-15,19,-128.7,lateral
Pass,01:14:04:210,Successful,Basic,-,-,Medium,Hassan Mustafa,20,Den Bosch O17,60,7,-,Huib Alberts,15,45,12,-,-,-,-,-,-,-15,5,16,161.6,backward
Dribbles,01:14:06:780,Successful,-,-,-,-,Huib Alberts,15,Den Bosch O17,45,15,-,-,-,47,15,-,-,-,-,-,-,2,0,2,0.0,forward
Pass,01:14:10:130,Successful,Basic,-,-,High,Huib Alberts,15,Den Bosch O17,56,32,-,Sufyan van Daalen,10,66,34,-,-,-,-,-,-,10,2,10,11.3,forward
Pass,01:14:14:480,Successful,Basic,-,-,High,Sufyan van Daalen,10,Den Bosch O17,65,30,-,Thijs Mendonca,22,68,11,-,-,-,-,-,-,3,-19,19,-81.0,lateral
Defensive Action,01:14:17:450,Successful,-,-,-,-,Elvi,9,Helmond Sport O17,67,11,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Pass,01:14:19:470,Successful,Basic,-,-,High,Elvi,9,Helmond Sport O17,70,4,-,Nasim,23,89,30,-,-,-,-,-,-,19,26,32,53.8,lateral
Pass,01:14:25:000,Successful,Basic,-,-,High,Nasim,23,Helmond Sport O17,85,21,-,Rubens,8,68,13,-,-,-,-,-,-,-17,-8,19,-154.8,backward
Pass,01:14:26:880,Successful,Basic,-,-,Medium,Rubens,8,Helmond Sport O17,67,15,-,Abdoul,2,69,4,-,-,-,-,-,-,2,-11,11,-79.7,lateral
Pass,01:14:28:750,Successful,Basic,-,-,High,Abdoul,2,Helmond Sport O17,67,7,-,Elvi,9,59,7,-,-,-,-,-,-,-8,0,8,180.0,backward
Pass,01:14:30:200,Successful,Basic,-,-,High,Elvi,9,Helmond Sport O17,59,7,-,Chevez,10,47,11,-,-,-,-,-,-,-12,4,13,161.6,backward
Pass,01:14:33:360,Successful,Basic,-,-,High,Chevez,10,Helmond Sport O17,42,13,-,Elvi,9,34,4,-,-,-,-,-,-,-8,-9,12,-131.6,lateral
Pass,01:14:38:140,Unsuccessful,Basic,-,-,High,Elvi,9,Helmond Sport O17,35,12,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Pass,01:14:40:430,Successful,Basic,-,-,High,Oscar Li,17,Den Bosch O17,35,35,-,Keyane Ait Bahmad,14,46,39,-,-,-,-,-,-,11,4,12,20.0,forward
Pass,01:14:43:940,Unsuccessful,Basic,-,-,High,Keyane Ait Bahmad,14,Den Bosch O17,52,46,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Pass,01:14:44:960,Unsuccessful,Basic,-,-,High,Glenn,15,Helmond Sport O17,65,61,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,01:14:46:370,Successful,-,-,-,-,Keyane Ait Bahmad,14,Den Bosch O17,57,63,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,01:14:51:300,Successful,Basic,-,-,Medium,Keyane Ait Bahmad,14,Den Bosch O17,68,48,-,Thijs Mendonca,22,62,23,-,-,-,-,-,-,-6,-25,26,-103.5,lateral
Pass,01:14:54:690,Unsuccessful,Basic,-,-,High,Thijs Mendonca,22,Den Bosch O17,66,29,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,01:14:56:110,Successful,-,-,-,-,Glenn,15,Helmond Sport O17,80,62,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,01:14:56:150,Successful,Basic,-,-,Low,Glenn,15,Helmond Sport O17,80,62,-,Rubens,8,65,42,-,-,-,-,-,-,-15,-20,25,-126.9,lateral
Defensive Action,01:14:59:210,Successful,-,-,-,-,Rayaan Lakbibchi,8,Den Bosch O17,63,54,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Pass,01:15:03:490,Unsuccessful,Basic,-,-,High,Rayaan Lakbibchi,8,Den Bosch O17,71,60,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Pass,01:15:26:880,Successful,Basic,-,-,Low,Glenn,15,Helmond Sport O17,95,62,-,Nasim,23,95,49,-,-,-,-,-,-,0,-13,13,-90.0,lateral
Pass,01:16:09:930,Successful,Basic,-,-,Low,Nasim,23,Helmond Sport O17,96,50,-,Glenn,15,96,75,-,-,-,-,-,-,0,25,25,90.0,lateral
Pass,01:16:12:950,Successful,Basic,-,-,High,Glenn,15,Helmond Sport O17,94,83,-,Rayen B.,22,63,94,-,-,-,-,-,-,-31,11,33,160.5,backward
Lost Possession,01:16:15:600,-,-,-,-,-,Rayen B.,22,Helmond Sport O17,63,96,-,-,-,-,-,-,-,-,-,-,-,,,,,
