Event,Timestamp,Result,Type,Pass Outcome,Shot outcome,Pressure,Player Name,Shirt Number,Team Name,Start Position X,Start Position Y,Foot used,Receiver Name,Receiver Shirt Number,End Position X,End Position Y,Defensive Action,Side,Distribution,Goal Location,Booking,Game_State
Corners,01:32:00:840,Unsuccessful,Cross,-,-,-,Tarik Serdar,11,AFC O19,98,97,-,-,-,-,-,-,Left Corner,-,-,-,-
Defensive Action,01:32:01:890,Unsuccessful,-,-,-,-,Ilias,2,FC Emmen O19,93,58,-,-,-,-,-,Clearance,-,-,-,-,-
Pass,01:32:07:120,Successful,Basic,Regular,-,High,Osa okunbor,9,AFC O19,65,77,-,Rody Schouren,19,34,73,-,-,-,-,-,-
Pass,01:32:12:640,Successful,Basic,Regular,-,High,Rody Schouren,19,AFC O19,52,64,-,Milan Engelander,10,61,4,-,-,-,-,-,-
Pass,01:32:18:150,Unsuccessful,Through Ball,Regular,-,Medium,Milan Engelander,10,AFC O19,61,8,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:32:20:290,Successful,-,-,-,-,Rinse,16,FC Emmen O19,84,31,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:32:20:410,Unsuccessful,Basic,Regular,-,High,Rinse,16,FC Emmen O19,83,30,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:32:22:310,Successful,-,-,-,-,Nicolai de Kort,15,AFC O19,76,32,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:32:22:990,Unsuccessful,Basic,Regular,-,High,Nicolai de Kort,15,AFC O19,79,32,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:32:24:360,Unsuccessful,-,-,-,-,Ilias,2,FC Emmen O19,82,23,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:32:29:400,Successful,Basic,Regular,-,High,Rody Schouren,19,AFC O19,63,27,-,Prio Hamid,3,55,46,-,-,-,-,-,-
Pass,01:32:32:250,Successful,Basic,Regular,-,High,Prio Hamid,3,AFC O19,55,48,-,Tristan Harrevelt,14,60,70,-,-,-,-,-,-
Pass,01:32:35:620,Unsuccessful,Basic,Regular,-,Medium,Tristan Harrevelt,14,AFC O19,68,71,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:32:36:890,Unsuccessful,-,-,-,-,Raff,3,FC Emmen O19,85,56,-,-,-,-,-,Interception,-,-,-,-,-
